student_id,age,gaming_hours,study_hours,sleep_hours,attendance,social_activity,device_usage,reaction_time_ms,addiction_score,stress_level,grades,gender_Female,gender_Male,gender_Other,gaming_genre_Casual,gaming_genre_FPS,gaming_genre_RPG,total_screen_hours,free_time,gaming_study_ratio
1,22,7.23,8.78,6.96,91.44,3.25,9.36,235.84,14.69,0,86.45955466333767,0,1,0,0,1,0,16.59,1.0300000000000011,0.7392638036809817
2,19,0.07,8.72,7.63,63.63,1.02,3.21,328.71,2.47,1,98.23,0,1,0,1,0,0,3.28,7.579999999999999,0.00720164609053498
3,23,1.73,9.56,4.4,83.26,3.46,5.56,313.61,4.73,2,90.56,1,0,0,1,0,0,7.289999999999999,8.309999999999999,0.16382575757575757
4,20,6.62,1.68,7.83,75.04,1.46,11.78,241.84,14.54,0,32.67,1,0,0,0,0,1,18.4,7.87,2.4701492537313436
5,22,5.36,5.83,5.55,65.57,1.01,8.23,249.31,12.48,0,58.71,1,0,0,0,1,0,13.59,7.260000000000001,0.7847730600292826
6,18,7.16,6.84,8.03,68.11,3.74,10.9,242.75,18.75,0,57.52,0,1,0,0,0,1,18.060000000000002,1.9700000000000006,0.913265306122449
7,22,0.46,7.4,6.55,91.25,1.81,2.86,320.2,1.74,1,94.0,1,0,0,1,0,0,3.32,9.59,0.05476190476190476
8,23,4.78,6.79,5.37,66.46,2.85,9.96,271.21,11.75,1,62.11,1,0,0,0,1,0,14.740000000000002,7.06,0.613607188703466
9,20,4.55,7.93,8.76,72.5,1.0,9.48,272.39,11.04,1,80.94,1,0,0,0,1,0,14.030000000000001,2.7600000000000007,0.509518477043673
10,19,0.29,4.24,7.83,71.39,3.07,5.39,318.59,4.72,1,82.34923549620179,0,1,0,1,0,0,5.68,11.639999999999999,0.055343511450381674
11,23,4.11,2.61,8.93,61.95,1.04,5.4,273.33,10.57,1,52.31,1,0,0,0,0,1,9.510000000000002,8.350000000000001,1.138504155124654
12,23,4.88,2.84,5.82,78.49,0.83,8.31,268.46,9.32,1,42.02,1,0,0,0,0,1,13.190000000000001,10.46,1.2708333333333333
13,18,1.53,1.11,7.25,90.64,1.93,3.21,287.14,3.55,1,63.05,0,1,0,0,1,0,4.74,14.110000000000001,0.7251184834123222
14,21,2.19,4.15,7.06,60.89,3.95,6.56,307.02,8.78,1,73.28,1,0,0,1,0,0,8.75,10.600000000000003,0.4252427184466019
15,20,5.12,1.83,7.44,64.5,0.88,7.68,263.06,10.85,0,37.13,0,1,0,0,1,0,12.8,9.61,1.8091872791519434
16,17,3.75,3.89,4.19,88.81,0.59,8.62,266.54,12.72,1,57.02,0,1,0,1,0,0,12.37,12.169999999999998,0.7668711656441717
17,23,6.86,6.65,5.46,83.74,0.16,8.19,239.53,15.76,0,62.09,0,1,0,0,1,0,15.05,5.03,0.8967320261437909
18,21,2.74,9.05,8.55,88.61,2.08,6.31,300.31,10.78,1,100.0,1,0,0,1,0,0,9.05,3.6599999999999984,0.272636815920398
19,17,2.13,8.56,6.12,69.2,1.41,3.75,297.34,4.45,1,91.13,0,1,0,0,1,0,5.88,7.19,0.2228033472803347
20,20,7.88,3.27,8.8,92.15,1.46,11.67,218.12,19.06,0,42.31,0,1,0,0,0,1,19.55,4.05,1.845433255269321
21,16,7.29,2.21,5.07,79.19,4.91,11.33,219.78,18.07,0,18.54,1,0,0,1,0,0,18.62,9.43,2.2710280373831777
22,21,0.23,2.74,8.99,84.41,0.97,3.54,341.89,4.27,1,76.12,0,1,0,0,1,0,3.77,12.039999999999997,0.06149732620320855
23,24,6.17,9.74,7.49,63.69,2.29,8.57,228.57,14.25,0,100.81507527205808,1,0,0,0,1,0,14.74,0.5999999999999996,0.574487895716946
24,16,0.88,5.95,7.88,68.2,4.93,2.04,312.81,4.57,1,92.02,1,0,0,1,0,0,2.92,9.290000000000001,0.12661870503597122
25,18,0.22,2.64,5.98,90.93,0.15,4.53,311.49,1.33,1,56.32,1,0,0,0,1,0,4.75,15.159999999999998,0.06043956043956044
26,22,2.19,8.57,8.54,68.96,3.48,7.54,304.14,6.94,1,100.0,1,0,0,1,0,0,9.73,4.700000000000001,0.22884012539184953
27,19,2.15,4.56,6.73,63.7,1.86,6.82,282.04,3.66,1,75.09,1,0,0,0,1,0,8.97,10.56,0.3866906474820144
28,24,6.55,9.09,7.4,83.89,4.53,12.02,257.48,15.3,0,88.42652901676423,0,1,0,0,0,1,18.57,0.96,0.6491575817641229
29,18,5.69,3.35,4.47,81.92,4.56,11.34,250.47,12.5,0,39.16,1,0,0,0,1,0,17.03,10.489999999999998,1.3080459770114945
30,20,7.85,4.54,7.16,84.32,1.94,11.1,223.6,17.99,0,44.94,0,1,0,1,0,0,18.95,4.450000000000001,1.4169675090252707
31,18,5.69,5.54,8.4,84.73,1.11,10.18,248.59,15.6,0,69.53,1,0,0,0,1,0,15.870000000000001,4.37,0.8700305810397554
32,22,3.35,9.03,4.89,80.01,2.14,6.34,273.87,9.32,2,88.37,0,1,0,0,0,1,9.69,6.730000000000002,0.33399800598205387
33,20,5.59,8.82,7.69,79.75,4.83,11.19,249.23,15.54,0,88.78828867430884,1,0,0,0,1,0,16.78,1.8999999999999995,0.5692464358452138
34,24,8.0,6.17,4.13,96.97,1.41,11.81,231.18,18.1,0,40.92761123181735,1,0,0,0,0,1,19.810000000000002,5.699999999999999,1.1157601115760112
