student_id,age,gaming_hours,study_hours,sleep_hours,attendance,social_activity,device_usage,reaction_time_ms,addiction_score,stress_level,grades,gender_Female,gender_Male,gender_Other,gaming_genre_Casual,gaming_genre_FPS,gaming_genre_RPG
1,22,7.23,8.78,6.96,91.44,3.25,9.36,235.84,14.69,0,86.45955466333767,0,1,0,0,1,0
2,19,0.07,8.72,7.63,63.63,1.02,3.21,328.71,2.47,1,98.23,0,1,0,1,0,0
3,23,1.73,9.56,4.4,83.26,3.46,5.56,313.61,4.73,2,90.56,1,0,0,1,0,0
4,20,6.62,1.68,7.83,75.04,1.46,11.78,241.84,14.54,0,32.67,1,0,0,0,0,1
5,22,5.36,5.83,5.55,65.57,1.01,8.23,249.31,12.48,0,58.71,1,0,0,0,1,0
6,18,7.16,6.84,8.03,68.11,3.74,10.9,242.75,18.75,0,57.52,0,1,0,0,0,1
7,22,0.46,7.4,6.55,91.25,1.81,2.86,320.2,1.74,1,94.0,1,0,0,1,0,0
8,23,4.78,6.79,5.37,66.46,2.85,9.96,271.21,11.75,1,62.11,1,0,0,0,1,0
9,20,4.55,7.93,8.76,72.5,1.0,9.48,272.39,11.04,1,80.94,1,0,0,0,1,0
10,19,0.29,4.24,7.83,71.39,3.07,5.39,318.59,4.72,1,82.34923549620179,0,1,0,1,0,0
11,23,4.11,2.61,8.93,61.95,1.04,5.4,273.33,10.57,1,52.31,1,0,0,0,0,1
12,23,4.88,2.84,5.82,78.49,0.83,8.31,268.46,9.32,1,42.02,1,0,0,0,0,1
13,18,1.53,1.11,7.25,90.64,1.93,3.21,287.14,3.55,1,63.05,0,1,0,0,1,0
14,21,2.19,4.15,7.06,60.89,3.95,6.56,307.02,8.78,1,73.28,1,0,0,1,0,0
15,20,5.12,1.83,7.44,64.5,0.88,7.68,263.06,10.85,0,37.13,0,1,0,0,1,0
16,17,3.75,3.89,4.19,88.81,0.59,8.62,266.54,12.72,1,57.02,0,1,0,1,0,0
17,23,6.86,6.65,5.46,83.74,0.16,8.19,239.53,15.76,0,62.09,0,1,0,0,1,0
18,21,2.74,9.05,8.55,88.61,2.08,6.31,300.31,10.78,1,100.0,1,0,0,1,0,0
19,17,2.13,8.56,6.12,69.2,1.41,3.75,297.34,4.45,1,91.13,0,1,0,0,1,0
20,20,7.88,3.27,8.8,92.15,1.46,11.67,218.12,19.06,0,42.31,0,1,0,0,0,1
21,16,7.29,2.21,5.07,79.19,4.91,11.33,219.78,18.07,0,18.54,1,0,0,1,0,0
22,21,0.23,2.74,8.99,84.41,0.97,3.54,341.89,4.27,1,76.12,0,1,0,0,1,0
23,24,6.17,9.74,7.49,63.69,2.29,8.57,228.57,14.25,0,100.81507527205808,1,0,0,0,1,0
24,16,0.88,5.95,7.88,68.2,4.93,2.04,312.81,4.57,1,92.02,1,0,0,1,0,0
25,18,0.22,2.64,5.98,90.93,0.15,4.53,311.49,1.33,1,56.32,1,0,0,0,1,0
26,22,2.19,8.57,8.54,68.96,3.48,7.54,304.14,6.94,1,100.0,1,0,0,1,0,0
27,19,2.15,4.56,6.73,63.7,1.86,6.82,282.04,3.66,1,75.09,1,0,0,0,1,0
28,24,6.55,9.09,7.4,83.89,4.53,12.02,257.48,15.3,0,88.42652901676423,0,1,0,0,0,1
29,18,5.69,3.35,4.47,81.92,4.56,11.34,250.47,12.5,0,39.16,1,0,0,0,1,0
30,20,7.85,4.54,7.16,84.32,1.94,11.1,223.6,17.99,0,44.94,0,1,0,1,0,0
31,18,5.69,5.54,8.4,84.73,1.11,10.18,248.59,15.6,0,69.53,1,0,0,0,1,0
32,22,3.35,9.03,4.89,80.01,2.14,6.34,273.87,9.32,2,88.37,0,1,0,0,0,1
33,20,5.59,8.82,7.69,79.75,4.83,11.19,249.23,15.54,0,88.78828867430884,1,0,0,0,1,0
34,24,8.0,6.17,4.13,96.97,1.41,11.81,231.18,18.1,0,40.92761123181735,1,0,0,0,0,1
35,22,5.68,3.0,8.63,81.36,4.91,10.44,234.62,13.46,0,42.99,1,0,0,0,1,0
36,17,6.09,4.63,8.91,84.69,4.1,7.16,239.43,10.37,0,62.63,0,1,0,0,1,0
37,19,7.51,9.78,5.77,70.68,1.34,11.39,244.83,13.11,2,71.67337105144001,0,1,0,0,0,1
38,24,0.91,6.47,4.54,94.84,3.96,5.62,308.18,1.16,1,83.48,1,0,0,0,1,0
39,17,5.64,8.03,7.29,60.97,0.25,7.93,246.6,11.1,0,74.54685540039097,1,0,0,1,0,0
40,24,6.81,5.05,4.15,82.29,2.74,7.88,225.53,15.98,0,30.39,0,1,0,1,0,0
41,20,7.64,5.79,6.41,75.35,1.79,12.36,216.62,15.18,0,38.94,0,0,1,0,0,1
42,17,1.69,4.86,5.36,84.16,2.13,4.38,309.54,3.08,1,79.96,1,0,0,0,1,0
43,19,4.03,7.33,6.37,74.41,2.36,7.17,263.41,8.69,1,86.79,0,1,0,0,0,1
44,22,5.44,8.66,4.09,88.71,2.51,9.25,262.77,15.36,2,77.6456270607162,1,0,0,0,1,0
45,23,1.98,5.57,4.26,60.81,3.28,3.53,286.43,4.66,1,69.57,1,0,0,1,0,0
46,18,4.8,5.33,4.08,76.24,3.48,6.32,261.14,10.63,1,55.77,0,1,0,0,1,0
47,16,2.06,4.06,7.1,93.25,4.88,7.86,294.59,7.84,1,74.5,0,1,0,0,1,0
48,19,2.67,2.59,6.8,70.01,3.81,5.36,280.42,9.47,1,56.86,1,0,0,0,1,0
49,17,3.53,9.45,5.17,62.11,3.44,5.81,278.41,8.37,2,86.86,1,0,0,1,0,0
50,23,4.23,3.84,7.23,79.86,1.96,5.47,248.08,5.55,1,64.03,0,1,0,1,0,0
51,19,3.59,8.21,8.42,99.06,0.59,5.46,276.03,8.37,1,99.32,1,0,0,0,1,0
52,17,3.95,7.44,5.39,62.57,0.29,7.1,277.05,12.36,2,66.87,1,0,0,1,0,0
53,21,2.39,8.12,8.16,62.8,2.39,5.1,282.97,7.42,1,93.83,1,0,0,0,1,0
54,21,1.27,9.43,7.31,83.8,3.34,4.39,306.89,4.53,1,100.0,0,1,0,1,0,0
55,19,0.38,6.61,4.17,70.0,3.25,4.9,316.97,3.73,1,78.34,1,0,0,0,0,1
56,21,1.57,9.08,5.88,76.41,4.76,5.78,303.1,1.57,2,100.0,0,1,0,1,0,0
57,17,4.66,2.51,6.54,93.22,1.91,8.13,250.63,7.1,1,57.56,0,1,0,0,1,0
58,17,6.29,6.64,7.66,67.95,3.14,11.36,245.47,16.9,0,63.94,0,1,0,0,0,1
