brand,model,year,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,drive_type,seating_capacity,body_type,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,country_of_origin,market_segment,annual_sales_units,customer_rating,warranty_years
17,29,2023,4,104880.8,118.7,400.0,234.5,3.04,195.0,1000.0,895.0,0,7,4,54.2,2015.0,4,2,1,2,202182,4.0,4
16,64,2022,3,48217.41,58.8,219.0,148.1,5.77,159.0,381.0,360.0,1,5,2,69.0,1709.0,4,0,2,1,7146,3.56,3
5,7,2024,3,49651.12,58.2,225.0,104.9,6.84,148.0,588.0,516.0,0,5,5,77.0,1533.0,4,1,5,1,16590,3.7,3
8,59,2024,1,38131.56,102.5,349.0,66.5,4.66,176.0,310.0,327.0,0,7,2,65.8,1935.0,4,2,3,1,127201,3.81,3
15,40,2022,1,144079.87,93.9,314.0,298.5,5.64,165.0,1000.0,883.0,2,5,2,38.3,2229.0,4,2,5,2,196401,3.83,4
15,43,2023,4,119590.27,78.3,251.0,334.6,2.84,200.0,947.0,858.0,0,5,1,35.5,1751.0,5,3,5,2,411764,3.67,5
15,40,2024,3,128427.66,68.6,222.0,201.9,6.68,149.0,992.0,899.0,2,5,0,39.3,1500.0,5,2,5,2,213937,3.54,6
10,18,2025,4,131074.23,82.7,292.0,202.5,2.99,200.0,764.0,737.0,2,7,2,61.2,2219.0,4,2,1,2,48277,4.11,8
8,45,2021,3,80530.57,54.6,184.0,67.5,7.57,137.0,976.0,864.0,0,7,1,36.7,1511.0,3,1,3,3,90830,3.11,4
5,5,2025,0,56944.53,69.9,251.0,117.1,6.68,149.0,703.0,604.0,1,7,5,67.6,1520.0,5,2,5,1,8761,3.46,5
15,41,2026,1,134165.81,103.2,347.0,324.4,4.56,187.0,993.0,949.0,0,5,3,26.7,1720.0,4,2,5,2,211478,3.78,4
3,55,2025,2,88914.19,66.7,232.0,129.5,5.1,173.0,727.0,689.0,0,7,4,64.7,2536.0,3,2,5,3,2408,3.67,5
10,17,2025,4,210811.92,93.2,320.0,166.5,2.84,200.0,1000.0,919.0,2,7,1,17.6,1562.0,5,2,1,2,56039,3.59,7
2,57,2023,0,16394.33,41.8,158.0,73.9,6.41,155.0,150.0,200.0,1,5,0,26.9,1744.0,5,0,0,0,224997,3.58,5
15,40,2024,3,95912.83,49.8,167.0,241.7,7.45,138.0,716.0,627.0,1,7,3,15.7,1556.0,4,3,5,3,124780,3.56,5
15,41,2024,3,134964.13,67.4,250.0,343.3,7.46,135.0,992.0,875.0,2,5,5,76.0,1500.0,5,2,5,2,235048,3.81,5
2,4,2024,2,64427.02,70.5,265.0,51.0,6.91,138.0,711.0,662.0,2,7,4,72.2,2756.0,5,1,0,1,204232,3.52,4
7,36,2024,3,63139.95,81.0,275.0,96.7,7.45,141.0,743.0,649.0,2,5,0,21.9,1750.0,4,1,3,1,132242,3.43,5
17,31,2024,1,77030.0,88.0,332.0,118.8,4.75,183.0,826.0,707.0,0,7,3,38.7,1634.0,4,0,1,3,238587,3.37,4
2,4,2024,3,72336.67,77.9,295.0,60.5,5.5,178.0,800.0,732.0,0,5,5,60.6,1500.0,3,1,0,3,168778,3.53,3
8,47,2025,3,106848.2,54.1,193.0,132.7,7.95,135.0,1000.0,855.0,0,5,0,26.9,1500.0,4,1,3,2,85618,3.33,5
15,9,2023,0,70531.96,70.5,256.0,281.7,5.5,165.0,507.0,445.0,0,7,4,72.0,2290.0,5,2,5,3,209622,3.6,4
2,63,2024,4,114839.62,76.6,293.0,185.3,3.42,200.0,1000.0,902.0,2,5,2,68.0,1978.0,5,0,0,2,229532,3.41,4
17,32,2024,1,51142.17,101.7,359.0,99.2,5.15,161.0,493.0,434.0,2,5,0,26.9,1500.0,4,0,1,1,203079,3.64,5
17,28,2026,2,59824.88,70.9,263.0,63.4,5.9,167.0,618.0,540.0,0,5,3,34.8,1781.0,3,0,1,1,293709,3.28,5
4,44,2025,4,96527.54,75.2,286.0,178.0,3.87,188.0,1000.0,924.0,1,7,0,38.9,1500.0,3,1,5,3,67670,3.6,4
15,42,2023,2,67772.81,53.3,175.0,320.5,7.79,128.0,501.0,445.0,1,5,3,28.7,1539.0,5,2,5,3,207968,3.36,6
7,35,2025,4,86045.75,96.3,314.0,180.3,3.08,200.0,1000.0,905.0,2,7,1,27.4,1500.0,5,0,3,3,124864,3.57,4
8,22,2024,2,66876.75,66.7,236.0,96.7,6.02,164.0,754.0,647.0,2,5,2,66.8,1980.0,4,2,3,3,117514,3.53,3
15,43,2025,4,135780.6,105.2,383.0,344.9,4.02,196.0,997.0,903.0,0,5,4,69.0,2015.0,5,2,5,2,411097,4.12,5
8,45,2024,4,105946.66,79.3,245.0,222.0,3.24,200.0,1000.0,919.0,2,7,0,15.9,1701.0,4,1,3,2,147459,3.43,3
15,42,2025,0,110771.86,52.9,177.0,216.7,6.55,151.0,826.0,728.0,0,5,2,35.7,1959.0,4,2,5,2,179640,3.42,5
15,9,2024,4,42827.24,89.9,311.0,240.1,2.94,200.0,263.0,241.0,0,5,4,55.5,2122.0,4,3,5,1,133489,3.82,5
16,64,2020,1,70748.34,94.2,335.0,104.7,5.66,169.0,818.0,760.0,0,5,2,66.5,2056.0,5,0,2,3,2261,3.72,4
3,55,2026,0,50395.94,63.9,243.0,106.1,7.33,147.0,334.0,275.0,1,7,3,34.5,1500.0,5,1,5,1,11950,3.48,4
4,11,2025,4,69597.51,106.2,361.0,219.0,3.88,192.0,783.0,728.0,0,5,3,38.9,1500.0,5,1,5,3,24574,3.79,3
2,37,2025,2,31434.26,60.6,229.0,98.1,7.69,136.0,285.0,269.0,2,5,1,31.5,1643.0,4,0,0,0,242953,3.29,4
15,42,2023,0,109503.65,47.9,155.0,304.7,6.19,164.0,825.0,733.0,2,5,5,72.8,1500.0,5,3,5,2,174834,3.59,4
1,74,2025,4,156773.89,81.4,266.0,182.2,4.2,190.0,1000.0,908.0,0,5,4,76.8,2499.0,5,1,1,2,58126,3.6,5
17,30,2021,1,52966.98,96.8,311.0,134.7,5.8,171.0,460.0,436.0,2,5,0,20.6,1853.0,5,0,1,1,232633,3.55,5
15,9,2024,2,121805.3,58.9,204.0,274.6,5.61,173.0,850.0,776.0,1,7,4,56.2,2502.0,4,3,5,2,225373,3.75,5
7,35,2025,2,69769.46,63.2,212.0,79.0,7.79,133.0,890.0,734.0,1,5,1,28.1,1500.0,4,0,3,3,50147,3.21,4
15,42,2024,1,117517.98,101.0,350.0,245.4,4.65,186.0,881.0,810.0,0,5,4,80.0,2225.0,5,2,5,2,122440,3.96,5
0,68,2025,2,53762.11,52.1,156.0,112.8,6.45,154.0,207.0,200.0,1,5,0,17.6,1899.0,4,2,1,1,69650,3.68,7
2,39,2024,0,24029.61,45.6,153.0,53.1,5.16,177.0,211.0,200.0,1,5,3,32.5,1669.0,5,0,0,0,157077,3.46,3
1,70,2024,1,120387.4,79.4,285.0,134.3,4.2,193.0,1000.0,988.0,2,5,4,62.9,2464.0,4,2,1,2,62864,3.27,8
