price,mileage_km,fuel_type,engine_cc,model_year,level,car_body_color,seat_count,drive_mode,motor_power_kw,battery_capacity_kwh,door_count,year,month,transmission_Manual,car_age,mileage_per_year,is_electric,quarter,log_mileage
24288.0,13000.0,7.0,1908.792198826372,2025.0,7.0,2.0,5,7.0,310.0,100.0,5.0,2025,4,0,0.0,13000.0,1,2,9.472781556562168
8787.0,10000.0,4.0,1598.0,2023.0,13.0,3.0,5,11.0,0.0,0.0,4.0,2023,12,0,0.0,10000.0,0,4,9.210440366976517
8257.0,16000.0,6.0,1499.0,2024.0,13.0,3.0,5,11.0,150.0,18.3,4.0,2024,10,0,0.0,16000.0,1,4,9.680406499268875
2914.0,90000.0,4.0,1798.0,2019.0,12.0,0.0,7,11.0,0.0,0.0,5.0,2020,9,0,1.0,45000.0,0,3,11.407576060361786
9244.0,20000.0,4.0,1494.0,2024.0,13.0,3.0,5,11.0,0.0,0.0,5.0,2024,3,0,0.0,20000.0,0,1,9.90353755128617
220505.0,4000.0,4.0,3994.0,2023.0,22.0,3.0,2,5.0,0.0,0.0,2.0,2023,12,0,0.0,4000.0,0,4,8.294299608857235
26201.0,90510.0,4.0,1967.0,2021.0,12.0,3.0,5,2.0,0.0,0.0,5.0,2022,3,0,1.0,45255.0,0,1,11.41322666926311
25877.0,1000.0,4.0,2498.0,2025.0,12.0,3.0,5,2.0,0.0,0.0,5.0,2026,3,0,1.0,500.0,0,1,6.90875477931522
6653.0,22000.0,6.0,1498.0,2024.0,13.0,1.0,5,11.0,132.0,8.32,4.0,2024,5,0,0.0,22000.0,1,2,9.99884318585288
21255.0,30000.0,7.0,1908.792198826372,2024.0,20.0,3.0,5,7.0,220.0,73.6,4.0,2025,7,0,1.0,15000.0,1,3,10.308985993422082
35298.0,12000.0,6.0,1499.0,2025.0,8.0,0.0,7,2.0,215.0,44.28,5.0,2025,10,0,0.0,12000.0,1,4,9.392745258631441
5770.0,11000.0,4.0,1392.0,2022.0,13.0,3.0,5,11.0,0.0,0.0,4.0,2022,5,0,0.0,11000.0,0,2,9.305741456739435
17634.0,7000.0,4.0,1497.0,2021.0,12.0,3.0,5,11.0,0.0,0.0,5.0,2022,1,0,1.0,3500.0,0,1,8.853808274977197
4121.0,98000.0,4.0,1997.0,2017.0,17.0,3.0,5,11.0,0.0,0.0,5.0,2017,11,0,0.0,98000.0,0,4,11.49273296168228
10863.0,36000.0,4.0,988.0,2022.0,13.0,3.0,5,11.0,0.0,0.0,4.0,2022,6,0,0.0,36000.0,0,2,10.491301994830229
8360.0,68000.0,7.0,1908.792198826372,2021.0,12.0,3.0,5,11.0,120.0,0.0,5.0,2022,4,0,1.0,34000.0,0,2,11.127277689932466
27938.0,16000.0,6.0,1497.0,2023.0,17.0,3.0,5,2.0,485.0,31.8,5.0,2024,1,0,1.0,8000.0,1,1,9.680406499268875
8228.0,151900.0,5.0,2488.0,2014.0,19.0,3.0,7,11.0,15.0,0.0,5.0,2015,11,0,1.0,75950.0,0,4,11.930984271840668
21344.0,4000.0,6.0,1499.0,2024.0,12.0,0.0,5,11.0,165.0,26.7,5.0,2024,9,0,0.0,4000.0,1,3,8.294299608857235
27791.0,1800.0,7.0,1908.792198826372,2026.0,20.0,3.0,5,7.0,215.0,82.0,4.0,2025,11,0,0.0,1800.0,1,4,7.496097345175956
22933.0,65000.0,4.0,2951.0,2020.0,20.0,0.0,5,3.0,0.0,0.0,4.0,2021,6,0,1.0,32500.0,0,2,11.082157933374816
117465.0,36000.0,5.0,2487.0,2024.0,8.0,0.0,7,10.0,174.0,0.0,5.0,2025,1,0,1.0,18000.0,0,1,10.491301994830229
3047.0,37500.0,4.0,1451.0,2023.0,16.0,3.0,0,5.0,0.0,0.0,5.0,2024,6,1,1.0,18750.0,0,2,10.53212287826962
2914.0,65000.0,4.0,1499.0,2018.0,12.0,3.0,5,11.0,0.0,0.0,5.0,2019,7,1,1.0,32500.0,0,3,11.082157933374816
4371.0,80200.0,4.0,1368.0,2017.0,12.0,3.0,5,11.0,0.0,0.0,5.0,2017,12,0,0.0,80200.0,0,4,11.2922912626048
16015.0,30000.0,6.0,1499.0,2024.0,12.0,0.0,5,11.0,165.0,26.7,5.0,2024,7,0,0.0,30000.0,1,3,10.308985993422082
68889.0,37000.0,4.0,3496.0,2020.0,14.0,0.0,7,2.0,0.0,0.0,5.0,2020,6,0,0.0,37000.0,0,2,10.518700218288165
27055.0,9000.0,6.0,1476.0,2022.0,8.0,0.0,7,9.0,290.0,25.57,5.0,2022,7,0,0.0,9000.0,1,3,9.105090961257085
5269.0,50000.0,7.0,1908.792198826372,2022.0,12.0,3.0,5,11.0,70.0,38.54,5.0,2023,1,0,1.0,25000.0,1,1,10.819798284210286
4386.0,100000.0,7.0,1908.792198826372,2021.0,16.0,3.0,0,7.0,60.0,0.0,5.0,2021,5,0,0.0,100000.0,0,2,11.51293546492023
2944.0,40000.0,4.0,1598.0,2020.0,12.0,0.0,5,11.0,0.0,0.0,5.0,2020,4,0,0.0,40000.0,0,2,10.596659732783579
12924.0,56600.0,4.0,1969.0,2021.0,12.0,3.0,5,2.0,0.0,0.0,5.0,2020,7,0,0.0,56600.0,0,3,10.943781931879723
3120.0,26800.0,4.0,1598.0,2015.0,13.0,3.0,5,11.0,0.0,0.0,5.0,2014,12,1,0.0,26800.0,0,4,10.196194479235656
6741.0,12000.0,4.0,1392.0,2024.0,13.0,3.0,5,11.0,0.0,0.0,4.0,2024,11,0,0.0,12000.0,0,4,9.392745258631441
67417.0,6200.0,8.0,1476.0,2024.0,14.0,2.0,5,8.0,600.0,65.8,5.0,2026,1,0,2.0,2066.6666666666665,1,1,8.732465848349879
41201.0,6400.0,8.0,1498.0,2026.0,20.0,0.0,5,7.0,227.0,53.4,4.0,2025,12,0,0.0,6400.0,1,4,8.764209507142004
21182.0,59900.0,7.0,1908.792198826372,2023.0,19.0,3.0,5,7.0,379.0,100.0,5.0,2024,1,0,1.0,29950.0,1,1,11.000448478455008
15897.0,1000.0,7.0,1908.792198826372,2025.0,7.0,0.0,5,11.0,110.0,72.0,4.0,2026,6,0,1.0,500.0,1,2,6.90875477931522
2914.0,104100.0,4.0,1499.0,2018.0,12.0,3.0,5,11.0,0.0,0.0,5.0,2018,1,0,0.0,104100.0,0,1,11.553116860704856
17192.0,18000.0,4.0,1395.0,2022.0,17.0,3.0,5,11.0,0.0,0.0,5.0,2023,6,0,1.0,9000.0,0,2,9.798182590890704
3356.0,68000.0,4.0,1997.0,2016.0,1.0,3.0,0,5.0,0.0,0.0,4.0,2017,7,1,1.0,34000.0,0,3,11.127277689932466
11304.0,11000.0,3.0,3.0,2023.0,5.0,3.0,0,2.0,0.0,0.0,4.0,2023,3,1,0.0,11000.0,0,1,9.305741456739435
18664.0,4500.0,7.0,1908.792198826372,2026.0,18.0,0.0,5,7.0,200.0,56.12,4.0,2025,12,0,0.0,4500.0,1,4,8.412054873292933
