Arrondissement,Size_sqm,Rooms,Floor,Year_Built,Condition,Distance_to_Center_km,Price_EUR,Location_Apartment,Location_Loft,Location_Penthouse,Location_Studio
4,117,4,7,1870,2,2.76,2270802.89,1,0,0,0
8,89,3,3,1953,1,10.77,1637076.12,0,0,0,1
4,164,5,5,1979,0,3.14,3220782.59,1,0,0,0
2,35,1,5,1938,3,4.72,407781.74,1,0,0,0
7,73,2,2,1957,3,7.96,624879.12,0,0,0,1
18,78,1,2,1984,0,2.97,667477.59,0,0,0,1
8,181,2,1,1858,2,0.73,3508979.39,0,1,0,0
1,144,4,6,2021,0,7.68,1568492.01,0,0,0,1
11,189,3,3,1899,1,10.11,3574338.67,0,0,1,0
7,16,2,1,1893,3,14.12,236998.46,0,0,1,0
3,28,4,7,1931,3,8.33,239196.37,0,1,0,0
12,38,2,8,2006,2,12.13,744156.42,0,0,1,0
2,79,1,7,1978,3,3.38,1567568.82,0,1,0,0
13,77,3,7,2012,2,11.96,799730.38,1,0,0,0
20,137,5,9,1890,1,13.77,2618838.64,0,0,1,0
3,86,4,6,2000,1,10.2,1029486.76,1,0,0,0
10,51,3,5,1884,1,7.35,769874.25,1,0,0,0
4,115,3,9,1991,2,7.66,1969883.37,0,1,0,0
15,151,2,2,1912,1,13.49,1254059.46,0,0,1,0
12,66,5,4,2000,1,9.26,930787.99,0,0,1,0
9,157,3,6,1935,1,13.27,1638567.35,1,0,0,0
18,184,5,4,1983,1,7.12,2124759.18,0,0,0,1
15,122,4,9,1941,2,5.67,1585770.56,0,1,0,0
18,143,1,8,1965,2,5.61,2255436.25,0,0,0,1
2,17,3,4,1900,3,4.41,221151.84,0,0,0,1
11,166,3,7,1962,2,1.44,1971820.24,0,1,0,0
3,66,4,1,1980,2,4.86,727411.58,0,0,0,1
7,127,1,1,1979,0,6.46,1422574.27,0,1,0,0
15,101,5,0,1996,2,10.37,1226226.35,0,0,0,1
5,67,4,5,2009,2,9.09,896017.66,0,0,0,1
19,197,3,0,1887,0,5.83,2449863.13,0,1,0,0
12,130,2,0,1973,1,7.87,2028306.35,0,0,0,1
17,107,3,3,1996,3,10.81,1614706.54,0,1,0,0
2,161,4,3,2010,1,6.26,2534473.83,1,0,0,0
6,53,2,8,2000,3,8.35,956783.63,0,1,0,0
13,56,3,9,1961,0,8.55,601585.61,0,1,0,0
17,74,1,4,1886,3,13.3,806764.83,0,0,1,0
4,23,1,2,1997,2,13.36,280381.84,0,0,1,0
4,134,1,0,2013,0,13.53,2104386.89,0,0,1,0
6,98,3,8,1948,3,14.62,1221804.53,0,1,0,0
9,160,2,2,2018,3,3.05,2212378.41,0,0,0,1
10,82,1,3,1977,1,11.29,1141991.42,0,0,0,1
12,159,1,2,1968,3,4.13,2307166.76,0,0,0,1
20,172,5,7,1876,0,6.8,2380635.8,0,0,1,0
1,35,1,0,1910,2,7.74,522299.63,1,0,0,0
10,18,3,0,2021,3,14.14,310007.67,0,0,0,1
8,60,5,8,1886,3,13.96,1116115.7,1,0,0,0
16,60,5,0,1965,1,4.77,892050.58,1,0,0,0
5,174,1,1,1874,1,6.22,2053733.15,0,1,0,0
9,68,2,7,1963,1,9.42,1302893.74,0,1,0,0
18,100,2,9,1979,2,5.18,1104996.38,0,0,0,1
13,118,1,5,1888,0,4.76,1137455.81,0,0,1,0
17,40,3,7,1862,3,1.68,442979.33,0,1,0,0
8,149,1,3,1914,3,1.53,2314675.21,0,0,0,1
11,158,4,1,1915,1,6.86,2945026.11,1,0,0,0
19,100,3,5,1907,3,12.98,1358717.62,0,0,0,1
3,63,4,5,1950,1,8.07,533359.06,1,0,0,0
3,67,4,4,1952,2,1.74,709520.11,1,0,0,0
3,123,4,2,1904,2,2.51,1591158.36,0,0,0,1
16,158,5,9,2007,1,1.1,3102241.9,0,0,0,1
19,134,3,6,1939,1,0.87,1777866.04,0,1,0,0
16,131,1,0,1907,1,13.77,2130321.84,0,1,0,0
4,48,1,4,1978,0,14.35,764273.69,1,0,0,0
12,83,5,9,1993,0,2.8,1081921.66,0,1,0,0
15,100,1,4,1896,3,1.09,1210255.6,1,0,0,0
2,158,2,4,1888,2,5.52,2711338.95,0,1,0,0
4,115,2,4,1949,1,1.16,1769873.14,0,0,0,1
7,152,2,0,1918,1,10.42,2918587.83,0,1,0,0
14,30,2,3,2001,2,10.32,249544.07,0,0,0,1
15,177,4,2,2020,3,14.15,1688934.75,0,0,0,1
15,81,1,9,1892,3,3.34,1582277.23,1,0,0,0
18,155,4,1,1884,3,5.38,1427447.08,1,0,0,0
8,104,5,9,2011,0,4.28,1886404.39,0,0,0,1
16,149,4,1,1924,1,13.22,2430887.96,0,1,0,0
13,178,1,8,2013,1,3.07,3140235.27,1,0,0,0
13,166,3,3,1945,0,5.44,3301086.24,1,0,0,0
9,51,4,6,1948,2,2.0,670544.34,0,1,0,0
14,31,1,8,1935,1,4.82,435953.88,0,1,0,0
7,33,1,8,1996,1,1.82,285180.18,0,0,1,0
2,42,4,4,1918,2,4.75,625012.7,1,0,0,0
2,39,4,3,1902,0,11.98,626738.64,1,0,0,0
17,71,5,9,2016,3,14.94,1361151.6,0,0,0,1
17,136,5,1,1925,1,10.48,2290842.03,1,0,0,0
3,159,5,7,2019,1,6.25,2871821.3,1,0,0,0
13,41,2,4,2015,1,14.81,400129.57,1,0,0,0
19,123,1,0,1920,3,14.8,2283411.31,1,0,0,0
14,146,4,2,1957,2,8.6,1827206.79,0,0,1,0
7,105,2,6,1975,1,7.64,1982006.53,0,0,1,0
9,155,2,9,1997,1,2.22,2111708.79,0,1,0,0
10,75,1,2,1941,2,14.45,1269790.49,0,1,0,0
3,127,1,5,1966,0,14.47,2339745.07,1,0,0,0
20,58,5,4,1929,3,8.15,1139035.66,1,0,0,0
18,178,3,8,1995,2,2.91,2909398.16,0,0,0,1
5,63,1,5,1852,3,13.57,978433.91,0,0,1,0
8,199,3,7,1951,2,7.11,2262940.1,0,0,1,0
6,170,5,3,1939,2,6.13,1925857.61,0,1,0,0
20,74,2,4,1890,2,4.27,828152.88,1,0,0,0
4,169,1,4,2006,2,2.43,1919360.39,0,0,0,1
4,49,5,2,1896,1,13.83,945032.71,1,0,0,0
9,24,2,4,1968,1,6.46,350857.31,0,0,1,0
11,132,1,0,1860,2,9.11,1816906.21,0,0,0,1
17,77,1,0,2010,2,7.3,1512200.9,0,1,0,0
2,113,1,6,1855,0,10.53,922539.18,1,0,0,0
9,109,5,4,1872,3,11.65,2175600.98,1,0,0,0
11,179,2,0,1934,2,7.03,3257042.6,0,0,0,1
6,124,1,3,1962,0,11.48,2411627.93,0,1,0,0
18,48,4,6,2003,3,7.72,538755.35,1,0,0,0
3,196,3,0,1903,3,14.54,2791424.55,0,0,0,1
12,71,1,6,1934,0,9.77,682180.97,0,0,0,1
5,89,3,1,1887,2,9.32,1676565.33,1,0,0,0
12,96,3,1,1901,2,8.44,872834.41,1,0,0,0
7,93,4,9,1900,3,10.62,1076522.75,0,0,0,1
12,43,4,0,1923,1,11.65,581022.95,0,1,0,0
8,98,5,4,1975,1,9.68,1936518.31,0,0,0,1
14,129,1,5,1993,1,9.79,1744264.46,1,0,0,0
11,118,4,2,1945,1,7.37,1433464.87,0,1,0,0
9,107,2,2,1996,3,12.42,1628885.05,0,0,0,1
13,106,2,4,1919,0,2.25,1073157.34,1,0,0,0
8,26,2,0,1927,0,5.29,486995.79,0,0,0,1
12,169,1,8,1905,1,13.17,1539165.31,0,0,1,0
8,77,5,3,1850,1,1.73,618397.8,1,0,0,0
13,113,5,7,1863,2,9.46,2241364.49,0,0,1,0
3,92,2,7,1964,2,10.84,1561207.92,0,0,1,0
17,125,3,1,1887,2,8.22,1798170.23,0,1,0,0
1,29,1,9,1888,2,5.17,488617.01,1,0,0,0
6,100,2,8,1994,3,5.47,1442402.68,0,0,1,0
4,39,4,8,1958,2,7.45,478188.81,0,1,0,0
11,125,2,7,1962,3,8.68,1836613.4,0,1,0,0
13,56,1,3,1875,2,9.31,674764.27,0,0,0,1
2,198,3,4,1970,3,3.94,3927960.23,0,1,0,0
17,164,5,6,1961,2,2.83,1612826.79,0,0,0,1
14,89,1,2,1880,2,6.45,797689.64,1,0,0,0
20,50,2,3,1928,3,12.35,745599.05,0,0,1,0
10,127,3,1,1928,0,8.26,2266992.89,0,0,1,0
11,40,3,4,1919,2,14.54,722519.63,0,1,0,0
18,82,3,3,1962,1,8.18,852314.82,0,0,0,1
14,15,2,5,1886,1,7.84,258200.31,0,1,0,0
20,114,5,0,1983,0,5.38,1640582.34,0,0,1,0
18,24,5,1,1862,2,10.43,210251.99,1,0,0,0
10,98,1,8,1866,0,2.19,947257.93,0,0,0,1
19,157,3,0,1918,0,12.54,1913267.81,0,0,1,0
15,192,5,8,2011,1,3.13,3219918.66,0,1,0,0
17,49,1,5,1909,1,12.71,827778.94,0,1,0,0
3,86,3,2,2014,2,12.31,1508715.87,0,0,1,0
3,137,2,8,1891,2,6.19,2588531.92,0,0,0,1
8,54,3,0,1872,1,6.86,836417.8,0,0,0,1
1,167,1,6,1902,1,13.64,3138747.44,1,0,0,0
16,193,3,2,1984,0,11.09,2543419.18,1,0,0,0
14,56,4,0,2004,0,11.93,981584.93,0,0,0,1
16,52,1,4,2004,1,11.29,610514.57,0,1,0,0
5,100,2,9,1946,3,1.99,1714950.42,1,0,0,0
14,155,4,3,1864,1,12.06,2090020.41,0,0,0,1
17,19,5,1,2004,3,9.8,204269.32,0,1,0,0
18,178,4,4,1997,3,3.13,2953758.5,0,0,0,1
15,88,2,9,1990,0,2.52,1704331.21,0,0,0,1
17,125,4,3,1917,0,11.96,1889444.36,0,0,1,0
20,51,2,9,1986,0,6.65,880002.96,0,1,0,0
6,43,1,6,1850,0,2.14,821593.35,0,1,0,0
9,163,2,5,1906,2,5.32,2944884.66,0,0,0,1
17,196,3,4,1902,1,5.36,2958679.82,0,1,0,0
9,194,1,8,1884,3,6.27,1562783.35,0,1,0,0
10,39,2,1,1984,2,5.53,742492.43,0,0,0,1
11,176,3,2,2001,3,8.88,2363084.29,0,0,1,0
5,194,5,0,1878,1,8.92,3681761.26,0,0,0,1
13,164,2,4,1898,1,3.08,1337769.89,0,0,0,1
3,98,1,5,1935,0,1.74,958827.37,0,1,0,0
11,118,1,6,1972,0,12.1,1368227.81,0,1,0,0
2,76,5,7,1868,0,1.45,1177978.1,0,0,0,1
13,92,3,1,1962,0,6.31,1236430.87,1,0,0,0
16,180,3,0,1857,2,13.0,1775318.93,1,0,0,0
10,117,3,9,1959,0,8.14,1460126.28,0,1,0,0
18,101,4,6,1942,0,6.42,1825824.1,0,0,0,1
8,71,3,7,1903,0,5.42,764875.73,0,0,1,0
16,81,3,7,2011,0,12.18,1282469.22,1,0,0,0
11,102,3,3,2014,1,2.55,1994282.77,0,1,0,0
